,object_6512,500,30,34,False
,object_9270,300,10,41,False
,object_3624,0,10,96,False
,object_8895,0,10,47,False
,object_2067,900,40,30,False
,object_2745,300,70,13,False
,object_1326,100,60,94,False
,object_6664,100,90,34,False
,object_7665,600,80,8,False
,object_6502,900,10,38,False
,object_7163,0,10,6,False
,object_7253,200,70,21,False
,object_6936,900,80,45,False
,object_5881,900,50,80,False
,object_7749,700,20,87,False
,object_8607,200,0,79,False
,object_5967,200,10,21,False
,object_8298,0,10,44,False
,object_4257,900,40,92,False
,object_7532,500,30,68,False
,object_1128,100,10,55,False
,object_8642,900,80,54,False
,object_9736,800,10,54,False
,object_5770,600,30,53,False
,object_8099,800,0,10,False
,object_3902,500,60,99,False
,object_9533,700,40,90,False
,object_1399,300,0,41,False
,object_4966,100,0,25,False
,object_9521,200,0,19,False
,object_2169,400,80,10,False
,object_5190,800,90,76,False
,object_7173,600,70,15,False
,object_2877,200,90,59,False
,object_6814,600,70,51,False
,object_1259,600,80,89,False
,object_8042,300,10,24,False
,object_1454,300,60,17,False
,object_2579,0,50,80,False
,object_7032,100,40,57,False
,object_4531,0,20,10,False
,object_8861,200,0,10,False
,object_6657,200,80,18,False
,object_7012,300,30,92,False
,object_8192,800,40,54,False
,object_9746,700,10,15,False
,object_2622,0,40,12,False
,object_8024,0,90,38,False
,object_5060,0,60,3,False
,object_3000,200,10,25,False
,object_9302,400,80,24,False
,object_3748,0,90,37,False
,object_7682,700,70,64,False
,object_8438,0,10,96,False
,object_8903,400,90,49,False
,object_3669,300,90,11,False
,object_1124,700,90,19,False
,object_1775,300,0,81,False
,object_6267,600,80,12,False
,object_8710,700,30,61,False
,object_4848,800,40,76,False
,object_2601,600,10,81,False
,object_6859,700,70,47,False
,object_3295,700,50,63,False
,object_8853,500,60,73,False
,object_4691,200,20,74,False
,object_5136,200,50,67,False
,object_2012,200,60,34,False
,object_8150,700,20,42,False
,object_8757,100,50,11,False
,object_4591,0,90,82,False
,object_8649,300,10,0,False
,object_8617,0,30,58,False
,object_3316,900,20,51,False
,object_8451,100,20,91,False
,object_1093,300,10,78,False
,object_8027,900,40,85,False
,object_6249,0,20,20,False
,object_2180,0,90,23,False
,object_1040,700,0,11,False
,object_7616,400,60,84,False
,object_1825,400,80,3,False
,object_7267,600,90,9,False
,object_4986,300,20,11,False
,object_6640,600,70,50,False
,object_5511,200,20,92,False
,object_9603,400,0,72,False
,object_8804,100,10,57,False
,object_2981,800,20,65,False
